;address;floor;link_url;rooms;square;price;uptime
907;新家园路128弄,新家园路30弄，泗凤公;高层/6层;3394728;2室1厅;77;4000;20160903
910;包头路430号;低层/6层;3389842;1室1厅;41;3500;20160901
912;达丰新村;高层/6层;3399685;1室1厅;35;4200;20160904
915;广富林路1188弄;高层/18层;3389843;1室1厅;59;3500;20160901
918;杨南路1899弄;中层/11层;3396741;2室1厅;55;4300;20160903
922;大渡河路2087弄1-21号,大渡河路2;中层/6层;3389497;1室1厅;44;3000;20160901
932;安图路148号;高层/5层;3398209;2室0厅;47;4300;20160904
934;梅家浜路1505弄;低层/18层;3397923;1室2厅;65;3600;20160904
935;月城路300弄,月城路299弄;中层/11层;3397822;1室1厅;69;3000;20160904
937;银都路3151弄;高层/6层;3395923;1室1厅;44;3500;20160903
939;昌里东路650弄,南码头路1453弄;中层/6层;3395819;1室1厅;37;4000;20160903
941;梅陇六村;低层/6层;3395542;1室1厅;43;3800;20160903
942;银都路3118弄1-7区;中层/6层;3392587;2室1厅;63;4000;20160902
944;广富林路1599弄,梅家浜路1508弄;低层/18层;3392493;1室2厅;69;4000;20160902
945;翔殷路300弄2-36号,翔殷路280弄;低层/6层;3392457;1室0厅;37;3000;20160902
950;沪太路1170弄,灵石路1123弄,灵石;高层/6层;3391497;2室1厅;50;4200;20160901
951;杨高南路4501弄;中层/6层;3391472;1室1厅;49;4000;20160901
956;花山路1001弄,海高二村;中层/6层;3386885;2室1厅;68;3700;20160831
957;许昌路1487弄1-4号,辽源三村;高层/7层;3386796;1室1厅;42;3800;20160831
959;新德路835弄,新德路785弄,新德路7;中层/6层;3386639;2室1厅;64;3500;20160830
960;平顺路980弄;中层/6层;3386618;2室1厅;53;4200;20160830
961;沪松公路565弄;低层/10层;3386438;1室1厅;61;2700;20160830
963;曹杨九村;高层/7层;3385902;1室0厅;28;3500;20160830
965;市光三村;高层/6层;3384917;2室1厅;47;4000;20160830
966;三泉路895弄;中层/6层;3385066;1室0厅;36;3900;20160830
967;丹巴路1500弄,梅川路916弄;中层/6层;3385046;1室1厅;42;3600;20160830
969;庭安路825弄;高层/14层;3384731;1室1厅;54;2500;20160830
971;嫩江路839弄,嫩江路801弄,民星路3;中层/6层;3384651;1室1厅;42;3300;20160830
972;长岛路85弄,博兴路250弄,长岛路25;低层/6层;3384556;1室0厅;39;3500;20160830
973;杨高南路4501弄;高层/6层;3384551;1室1厅;49;4000;20160830
